age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit
59,admin.,married,secondary,True,2343,True,True,unknown,5,,1042,1,-1,0,unknown,True
56,admin.,married,secondary,True,45,True,True,unknown,5,,1467,1,-1,0,unknown,True
41,technician,married,secondary,True,1270,True,True,unknown,5,,1389,1,-1,0,unknown,True
55,services,married,secondary,True,2476,True,True,unknown,5,,579,1,-1,0,unknown,True
54,admin.,married,tertiary,True,184,True,True,unknown,5,,673,2,-1,0,unknown,True
42,management,single,tertiary,True,0,True,True,unknown,5,,562,2,-1,0,unknown,True
56,management,married,tertiary,True,830,True,True,unknown,6,,1201,1,-1,0,unknown,True
60,retired,divorced,secondary,True,545,True,True,unknown,6,,1030,1,-1,0,unknown,True
37,technician,married,secondary,True,1,True,True,unknown,6,,608,1,-1,0,unknown,True
28,services,single,secondary,True,5090,True,True,unknown,6,,1297,3,-1,0,unknown,True
38,admin.,single,secondary,True,100,True,True,unknown,7,,786,1,-1,0,unknown,True
30,blue-collar,married,secondary,True,309,True,True,unknown,7,,1574,2,-1,0,unknown,True
29,management,married,tertiary,True,199,True,True,unknown,7,,1689,4,-1,0,unknown,True
46,blue-collar,single,tertiary,True,460,True,True,unknown,7,,1102,2,-1,0,unknown,True
31,technician,single,tertiary,True,703,True,True,unknown,8,,943,2,-1,0,unknown,True
35,management,divorced,tertiary,True,3837,True,True,unknown,8,,1084,1,-1,0,unknown,True
32,blue-collar,single,primary,True,611,True,True,unknown,8,,541,3,-1,0,unknown,True
49,services,married,secondary,True,-8,True,True,unknown,8,,1119,1,-1,0,unknown,True
41,admin.,married,secondary,True,55,True,True,unknown,8,,1120,2,-1,0,unknown,True
49,admin.,divorced,secondary,True,168,True,True,unknown,8,,513,1,-1,0,unknown,True
28,admin.,divorced,secondary,True,785,True,True,unknown,8,,442,2,-1,0,unknown,True
43,management,single,tertiary,True,2067,True,True,unknown,8,,756,1,-1,0,unknown,True
43,management,divorced,tertiary,True,388,True,True,unknown,8,,2087,2,-1,0,unknown,True
43,blue-collar,married,primary,True,-192,True,True,unknown,8,,1120,2,-1,0,unknown,True
37,unemployed,single,secondary,True,381,True,True,unknown,8,,985,2,-1,0,unknown,True
35,blue-collar,single,secondary,True,40,True,True,unknown,9,,617,4,-1,0,unknown,True
31,technician,single,tertiary,True,22,True,True,unknown,9,,483,3,-1,0,unknown,True
43,blue-collar,single,secondary,True,3,True,True,unknown,9,,929,3,-1,0,unknown,True
31,admin.,married,secondary,True,307,True,True,unknown,9,,538,1,-1,0,unknown,True
28,blue-collar,single,secondary,True,759,True,True,unknown,9,,710,1,-1,0,unknown,True
32,blue-collar,married,secondary,True,-1,True,True,unknown,9,,653,1,-1,0,unknown,True
60,technician,married,primary,True,65,True,True,unknown,9,,1028,2,-1,0,unknown,True
26,blue-collar,single,secondary,True,82,True,True,unknown,9,,654,1,-1,0,unknown,True
40,blue-collar,married,secondary,True,10,True,True,unknown,9,,1692,2,-1,0,unknown,True
33,blue-collar,divorced,primary,True,390,True,True,unknown,9,,665,2,-1,0,unknown,True
32,management,single,tertiary,True,311,True,True,unknown,12,,757,2,-1,0,unknown,True
35,blue-collar,married,primary,True,414,True,True,unknown,13,,504,4,-1,0,unknown,True
33,management,divorced,secondary,True,5,True,True,unknown,13,,1346,1,-1,0,unknown,True
38,management,married,tertiary,True,119,True,True,unknown,13,,568,4,-1,0,unknown,True
23,entrepreneur,single,primary,True,4,True,True,unknown,13,,395,2,-1,0,unknown,True
60,blue-collar,married,primary,True,1262,True,True,unknown,13,,1015,1,-1,0,unknown,True
48,management,married,tertiary,True,1949,True,True,unknown,13,,683,2,-1,0,unknown,True
45,entrepreneur,divorced,tertiary,True,-395,True,True,unknown,13,,470,1,-1,0,unknown,True
36,blue-collar,married,secondary,True,1165,True,True,unknown,13,,1001,4,-1,0,unknown,True
52,management,married,unknown,True,2240,True,True,unknown,13,,845,1,-1,0,unknown,True
35,blue-collar,divorced,primary,True,300,True,True,unknown,13,,945,2,-1,0,unknown,True
43,technician,married,secondary,True,3285,True,True,unknown,13,,1721,2,-1,0,unknown,True
52,housemaid,married,secondary,True,3923,True,True,unknown,14,,942,3,-1,0,unknown,True
53,technician,divorced,primary,True,1443,True,True,unknown,14,,476,1,-1,0,unknown,True
48,blue-collar,divorced,primary,True,24,True,True,unknown,14,,832,1,-1,0,unknown,True
41,blue-collar,single,primary,True,1618,True,True,unknown,14,,1553,1,-1,0,unknown,True
39,management,divorced,tertiary,True,517,True,True,unknown,14,,1328,1,-1,0,unknown,True
59,retired,married,secondary,True,1521,True,True,unknown,14,,1125,2,-1,0,unknown,True
41,blue-collar,married,secondary,True,2823,True,True,unknown,14,,858,1,-1,0,unknown,True
48,blue-collar,married,secondary,True,1405,True,True,unknown,14,,629,2,-1,0,unknown,True
40,admin.,married,secondary,True,1535,True,True,unknown,14,,704,1,-1,0,unknown,True
48,blue-collar,married,secondary,True,1596,True,True,unknown,14,,760,1,-1,0,unknown,True
60,retired,married,primary,True,1542,True,True,unknown,14,,930,1,-1,0,unknown,True
40,technician,single,unknown,True,3652,True,True,unknown,14,,1028,2,-1,0,unknown,True
57,technician,married,tertiary,True,-1,True,True,unknown,14,,850,2,-1,0,unknown,True
51,blue-collar,married,secondary,True,7180,True,True,unknown,14,,927,1,-1,0,unknown,True
41,blue-collar,divorced,secondary,True,5291,True,True,unknown,14,,1423,3,-1,0,unknown,True
41,blue-collar,married,secondary,True,1384,True,True,unknown,15,,1162,4,-1,0,unknown,True
52,blue-collar,divorced,primary,True,-191,True,True,unknown,15,,755,1,-1,0,unknown,True
59,blue-collar,married,primary,True,320,True,True,unknown,15,,695,1,-1,0,unknown,True
44,blue-collar,married,unknown,True,146,True,True,unknown,15,,483,1,-1,0,unknown,True
49,unknown,married,primary,True,341,True,True,unknown,15,,520,2,-1,0,unknown,True
40,services,married,primary,True,-9,True,True,unknown,15,,920,2,-1,0,unknown,True
41,admin.,married,primary,True,-306,True,True,unknown,15,,500,1,-1,0,unknown,True
44,technician,married,tertiary,True,4580,True,True,unknown,15,,911,2,-1,0,unknown,True
60,services,single,primary,True,313,True,True,unknown,15,,920,2,-1,0,unknown,True
29,management,married,tertiary,True,10576,True,True,unknown,15,,1224,2,-1,0,unknown,True
41,retired,divorced,primary,True,-233,True,True,unknown,15,,1156,2,-1,0,unknown,True
41,blue-collar,married,primary,True,2453,True,True,unknown,15,,1052,1,-1,0,unknown,True
42,technician,single,secondary,True,1364,True,True,unknown,15,,1867,6,-1,0,unknown,True
36,services,single,unknown,True,281,True,True,unknown,16,,515,1,-1,0,unknown,True
39,technician,married,tertiary,True,94,True,True,unknown,16,,813,1,-1,0,unknown,True
31,self-employed,single,tertiary,True,144,True,True,unknown,16,,676,1,-1,0,unknown,True
26,blue-collar,married,secondary,True,246,True,True,unknown,16,,1143,3,-1,0,unknown,True
31,blue-collar,married,secondary,True,92,True,True,unknown,16,,688,1,-1,0,unknown,True
29,admin.,single,secondary,True,163,True,True,unknown,16,,803,1,-1,0,unknown,True
37,services,divorced,secondary,True,49,True,True,unknown,16,,619,2,-1,0,unknown,True
33,blue-collar,single,secondary,True,-416,True,True,unknown,16,,767,2,-1,0,unknown,True
24,technician,single,secondary,True,409,True,True,unknown,16,,912,1,-1,0,unknown,True
50,admin.,divorced,secondary,True,363,True,True,unknown,16,,1340,1,-1,0,unknown,True
27,technician,single,tertiary,True,3706,True,True,unknown,16,,897,1,-1,0,unknown,True
54,management,single,tertiary,True,4393,True,True,unknown,16,,1297,3,-1,0,unknown,True
30,technician,single,secondary,True,863,True,True,unknown,16,,1193,5,-1,0,unknown,True
34,blue-collar,married,primary,True,695,True,True,unknown,16,,1064,4,-1,0,unknown,True
37,management,single,secondary,True,792,True,True,unknown,16,,1187,4,-1,0,unknown,True
41,admin.,single,secondary,True,1020,True,True,unknown,19,,882,1,-1,0,unknown,True
47,blue-collar,married,secondary,True,863,True,True,unknown,19,,943,2,-1,0,unknown,True
31,admin.,married,secondary,True,97,True,True,unknown,19,,607,1,-1,0,unknown,True
31,blue-collar,married,secondary,True,754,True,True,unknown,19,,1022,4,-1,0,unknown,True
43,services,divorced,secondary,True,1040,True,True,unknown,19,,552,3,-1,0,unknown,True
37,management,divorced,tertiary,True,122,True,True,unknown,19,,1622,2,-1,0,unknown,True
30,technician,single,tertiary,True,880,True,True,unknown,19,,967,6,-1,0,unknown,True
41,technician,married,secondary,True,501,True,True,unknown,19,,579,5,-1,0,unknown,True
36,blue-collar,married,secondary,True,4438,True,True,unknown,20,,446,1,-1,0,unknown,True
35,blue-collar,divorced,secondary,True,0,True,True,unknown,20,,1205,1,-1,0,unknown,True
29,services,single,secondary,True,271,True,True,unknown,20,,1882,2,-1,0,unknown,True
35,blue-collar,married,primary,True,102,True,True,unknown,20,,1334,1,-1,0,unknown,True
31,blue-collar,married,secondary,True,2,True,True,unknown,20,,182,2,-1,0,unknown,True
